icd_10_code,diagnosis_name
V80010S,"Replacement of Right Radius with Nonautologous Tissue Substitute, Open Approach"
S82402D,"Transfer Glossopharyngeal Nerve to Acoustic Nerve, Open Approach"
S32463S,Wound Management Treatment of Musculoskeletal System - Upper Back / Upper Extremity using Other Equipment
W2103XS,"Supplement Left Carpal Joint with Autologous Tissue Substitute, Open Approach"
S60151A,"Bypass Ileum to Sigmoid Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
S63302A,Perceptual Processing Assessment using Speech Analysis Equipment
T366X1A,"Fluoroscopy of Bilateral Lower Extremity Veins using High Osmolar Contrast, Guidance"
S61429D,"Dilation of Lower Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
V115XXS,"Removal of Nonautologous Tissue Substitute from Left Metatarsal, Percutaneous Approach"
S66822,"Dilation of Abdominal Aorta, Bifurcation, Percutaneous Approach"
S82044,"Excision of Right Colic Artery, Percutaneous Approach"
S62146B,"Supplement Anal Sphincter with Nonautologous Tissue Substitute, Open Approach"
S61227S,"Replacement of Left Lower Femur with Autologous Tissue Substitute, Percutaneous Approach"
V710,"Introduction of Anti-inflammatory into Peripheral Artery, Open Approach"
T40996A,Acoustic Reflex Threshold Assessment using Tympanometer
M8952,"Restriction of Right Face Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
S32810G,"Reposition Right Radius with Internal Fixation Device, Percutaneous Endoscopic Approach"
S60369,"Change Other Device in Bone Marrow, External Approach"
M86551,"Drainage of Azygos Vein, Open Approach"
S82862K,"Drainage of Left Knee Region, Percutaneous Endoscopic Approach"
V787,"Dilation of Gastric Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach"
S62328A,"Repair Right Trunk Muscle, Open Approach"
V0609XA,"Removal of Monitoring Device from Ureter, Percutaneous Endoscopic Approach"
S42223K,"Supplement Left Upper Eyelid with Synthetic Substitute, External Approach"
S62668B,High Dose Rate (HDR) Brachytherapy of Bone Marrow using Iodine 125 (I-125)
S52136F,"Restriction of Aortic Lymphatic with Extraluminal Device, Percutaneous Approach"
M84474,"Drainage of Left Lower Femur with Drainage Device, Percutaneous Approach"
S49092K,"Removal of Infusion Device from Left Eye, Via Natural or Artificial Opening Endoscopic"
I6351,"Release Left Sphenoid Sinus, Open Approach"
S65992,"Occlusion of Left Colic Artery with Extraluminal Device, Percutaneous Endoscopic Approach"
S0430XA,"Repair Left Choroid, Open Approach"
T23079D,Plain Radiography of Intracranial Arteries
Y92140,"Supplement Right Tunica Vaginalis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S472XXS,"Drainage of Hard Palate, External Approach"
S82233P,"Restriction of Left Common Iliac Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
S63011D,Beam Radiation of Nose using Neutrons
M8889,"Removal of Monitoring Device from Endocrine Gland, Open Approach"
S02632B,"Removal of Drainage Device from Mediastinum, Percutaneous Endoscopic Approach"
S81032A,Change Splint on Right Upper Extremity
T472X5D,"Reattachment of Right Lower Leg Muscle, Open Approach"
P0260,"Drainage of Left Lung with Drainage Device, Percutaneous Endoscopic Approach"
S99129G,"Fragmentation in Left Kidney Pelvis, Via Natural or Artificial Opening"
T82398,"Occlusion of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening"
T50993D,"Supplement Inferior Vena Cava with Autologous Tissue Substitute, Open Approach"
Y3531,"Revision of Drainage Device in Facial Bone, Open Approach"
J84848,"Bypass Lower Esophagus to Cutaneous, Open Approach"
S91231A,"Dilation of Right Radial Artery with Three Intraluminal Devices, Percutaneous Approach"
S43213A,"Extirpation of Matter from Right Lower Eyelid, Open Approach"
G4383,"Drainage of Superior Mesenteric Vein, Percutaneous Approach, Diagnostic"
H4010X0,"Supplement Left Metatarsal-Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach"
T82532D,"Drainage of Left Wrist Joint, Open Approach"
S01139D,"Removal of Internal Fixation Device from Left Pelvic Bone, Open Approach"
S72112K,"Insertion of Cardiac Resynchronization Defibrillator Pulse Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach"
Y35023S,"Insertion of Intraluminal Device into Left Vertebral Vein, Percutaneous Endoscopic Approach"
L2481,"Excision of Left Temporomandibular Joint, Open Approach"
S82033K,"Dilation of Celiac Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
H5713,"Release Left Vocal Cord, Via Natural or Artificial Opening"
S90872D,"Drainage of Lower Esophagus, Open Approach, Diagnostic"
V142XXD,"Revision of Infusion Device in Thoracic Duct, External Approach"
Z933,"Insertion of Infusion Device into Right External Iliac Artery, Open Approach"
D409,"Drainage of Coccygeal Glomus, Open Approach"
M8932,"Repair Lumbar Vertebral Disc, Open Approach"
S65291A,"Removal of Spacer from Right Ankle Joint, Open Approach"
S60122,Computerized Tomography (CT Scan) of Head and Neck using Low Osmolar Contrast
S65999D,Fluoroscopy of Left Foot/Toe Joint
G974,"Extirpation of Matter from Oculomotor Nerve, Open Approach"
T4395XS,"Drainage of Left Ulnar Artery, Percutaneous Endoscopic Approach, Diagnostic"
G5732,"Bypass Right Popliteal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach"
Q612,"Supplement Common Bile Duct with Synthetic Substitute, Percutaneous Endoscopic Approach"
M238X2,"Revision of Nonautologous Tissue Substitute in Fallopian Tube, Via Natural or Artificial Opening Endoscopic"
O3111X3,"Removal of Infusion Device from Cervical Vertebral Joint, Open Approach"
D231,"Occlusion of Right Internal Mammary Lymphatic, Open Approach"
S66507D,"Dilation of Right Temporal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
M06249,"Extirpation of Matter from Lung Lingula, Open Approach"
J84112,"Fragmentation in Anus, Via Natural or Artificial Opening Endoscopic"
S93144A,"Beam Radiation of Abdomen Skin using Heavy Particles (Protons,Ions)"
Y3500,"Reposition Left Radius with Internal Fixation Device, Percutaneous Approach"
A5008,"Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
S21452,"Revision of Infusion Device in Right Lower Extremity, Percutaneous Endoscopic Approach"
V650XXD,"Destruction of Cisterna Chyli, Open Approach"
P270,"Revision of Infusion Device in Testis, Via Natural or Artificial Opening Endoscopic"
G114,"Extirpation of Matter from Hepatic Vein, Open Approach"
S56197S,"Dilation of Bilateral Vas Deferens with Intraluminal Device, Open Approach"
M87342,"Fusion of 2 or more Lumbar Vertebral Joints with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
S83239A,"Drainage of Left Axillary Vein, Open Approach, Diagnostic"
Z3183,"Drainage of Pharynx with Drainage Device, Percutaneous Endoscopic Approach"
S63266S,"Drainage of Left External Iliac Vein, Open Approach"
S065X6A,"Revision of External Fixation Device in Left Thumb Phalanx, Percutaneous Endoscopic Approach"
V852XXS,"Reposition Left Fibula with Internal Fixation Device, Percutaneous Endoscopic Approach"
M05229,"Replacement of Lower Vein with Nonautologous Tissue Substitute, Open Approach"
S0032,"Reposition Right Brachial Artery, Percutaneous Approach"
H720,"Drainage of Lower Gingiva, Percutaneous Approach, Diagnostic"
T506X3S,"Bypass Splenic Artery to Right Renal Artery with Synthetic Substitute, Open Approach"
O43891,"Inspection of Penis, Percutaneous Endoscopic Approach"
S79812S,"Drainage of Left Upper Arm with Drainage Device, Open Approach"
S59819A,"Extirpation of Matter from Left Wrist Bursa and Ligament, Open Approach"
S99119G,"Dilation of Left Popliteal Artery, Bifurcation, Percutaneous Endoscopic Approach"
S82873P,"Drainage of Left Scapula, Percutaneous Endoscopic Approach, Diagnostic"
S53402S,"Insertion of Radioactive Element into Peritoneal Cavity, Percutaneous Approach"
F1098,Hyperthermia of Hemibody
S76209A,"Dilation of Coronary Artery, One Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
S42341K,"Removal of Monitoring Device from Brain, Percutaneous Approach"
M07649,Plain Radiography of Bilateral Upper Extremity Veins using High Osmolar Contrast
S86011A,"Fragmentation in Right Main Bronchus, External Approach"
V34,"Drainage of Prepuce with Drainage Device, Percutaneous Endoscopic Approach"
S82842H,"Alteration of Right Lower Arm with Nonautologous Tissue Substitute, Open Approach"
S42142K,"Restriction of Carina with Intraluminal Device, Percutaneous Approach"
M2672,"Drainage of Sternum, Open Approach"
T798XXA,"Bypass Ileum to Anus with Synthetic Substitute, Open Approach"
S49109A,"Excision of Left Nipple, Via Natural or Artificial Opening Endoscopic"
E7400,"Occlusion of Left Brachial Vein, Percutaneous Endoscopic Approach"
O3673X3,"Removal of External Fixation Device from Left Femoral Shaft, External Approach"
H16223,"Drainage of Right Upper Femur, Percutaneous Endoscopic Approach"
S55802D,Removal of Brace on Right Upper Extremity
C9031,"Repair Left Thorax Muscle, Open Approach"
T17498,"Excision of Right Femoral Shaft, Percutaneous Approach"
T2005XS,"Insertion of Intraluminal Device into Right Brachial Vein, Open Approach"
T85192D,"Repair Bilateral Femoral Region, Open Approach"
S0145,"Revision of Nonautologous Tissue Substitute in Chest Wall, Percutaneous Approach"
S23161S,"Chiropractic Manipulation of Sacrum, Long and Short Lever Specific Contact"
M84757G,"Removal of Intraluminal Device from Lower Artery, External Approach"
T4596XD,"Insertion of Intraluminal Device into Right Vertebral Vein, Percutaneous Approach"
S43026D,"Resection of Larynx, Open Approach"
T25732D,"Removal of Synthetic Substitute from Left Metatarsal, Open Approach"
S52389C,"Transfer Perineum Muscle with Skin and Subcutaneous Tissue, Open Approach"
T8681,"Drainage of Left Humeral Head, Percutaneous Endoscopic Approach, Diagnostic"
T71163S,"Excision of Right Hand Vein, Percutaneous Endoscopic Approach, Diagnostic"
S65302D,"Dilation of Ileocecal Valve with Intraluminal Device, Percutaneous Approach"
T372X4D,"Excision of Left Hip Joint, Percutaneous Endoscopic Approach, Diagnostic"
E133539,"Replacement of Greater Omentum with Synthetic Substitute, Percutaneous Endoscopic Approach"
S4490,"Dilation of Left Internal Carotid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
M21829,"Revision of Autologous Tissue Substitute in Omentum, Percutaneous Endoscopic Approach"
D0581,"Revision of Intraluminal Device in Vagina and Cul-de-sac, Percutaneous Approach"
K264,"Control Bleeding in Right Ankle Region, Percutaneous Approach"
S56191S,"Replacement of Soft Palate with Synthetic Substitute, Open Approach"
M84374P,"Introduction of Other Gas into Pericardial Cavity, Via Natural or Artificial Opening"
Y3645,"Replacement of Common Bile Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
Y37501,"Revision of Nonautologous Tissue Substitute in Left Sternoclavicular Joint, Percutaneous Approach"
T24509S,"Destruction of Anal Sphincter, Percutaneous Endoscopic Approach"
S95019,"Drainage of Optic Nerve, Percutaneous Approach, Diagnostic"
S92001A,"Release Cervical Vertebra, Percutaneous Endoscopic Approach"
S71129,"Inspection of Genitourinary Tract, Open Approach"
S56117D,"Supplement Right Pulmonary Vein with Autologous Tissue Substitute, Open Approach"
I70634,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach"
G7089,"Repair Mesentery, Open Approach"
S68123S,Narcosynthesis
T84622,Plain Radiography of Right Single Mammary Duct using High Osmolar Contrast
S66429A,"Revision of Nonautologous Tissue Substitute in Right Metatarsal-Tarsal Joint, Open Approach"
S52515G,"Repair Upper Jaw, Open Approach"
S00279D,"Revision of Internal Fixation Device in Left Carpal, External Approach"
M05659,"Dilation of Right External Jugular Vein, Open Approach"
V9103XS,"Change Drainage Device in Right Upper Extremity, External Approach"
S53102A,"Computerized Tomography (CT Scan) of Pancreas using Low Osmolar Contrast, Unenhanced and Enhanced"
S91141D,"Removal of Synthetic Substitute from Diaphragm, Percutaneous Approach"
T5292,"Drainage of Lung Lingula, Via Natural or Artificial Opening, Diagnostic"
V0409XA,"Restriction of Right Large Intestine, Via Natural or Artificial Opening"
Y748,"Release Bilateral Epididymis, Open Approach"
E0837X9,"Supplement Peritoneum with Synthetic Substitute, Percutaneous Endoscopic Approach"
M7106,"Transfer Acoustic Nerve to Facial Nerve, Open Approach"
H16042,"Reposition Hepatic Artery, Percutaneous Approach"
S75192,Low Dose Rate (LDR) Brachytherapy of Bronchus using Other Isotope
S90821A,"Removal of Autologous Tissue Substitute from Stomach, Percutaneous Endoscopic Approach"
S52501N,"Introduction of Other Anti-infective into Male Reproductive, Via Natural or Artificial Opening"
C8491,Planar Nuclear Medicine Imaging of Spine and Pelvis using Technetium 99m (Tc-99m)
D1724,"Release Left Common Iliac Vein, Open Approach"
I70644,"Reposition Right Neck Muscle, Open Approach"
V8653XS,"Drainage of Left Anterior Tibial Artery, Open Approach"
S85892A,"Insertion of Infusion Device into Left Internal Mammary Artery, Percutaneous Endoscopic Approach"
Q70,"Dilation of Left Ulnar Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
S72409F,"Dilation of Left Foot Artery, Bifurcation, Percutaneous Approach"
S20352D,"Resection of Anus, Open Approach"
L108,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Venous Tissue, Open Approach"
S9490XD,"Drainage of Left Lower Leg, Percutaneous Endoscopic Approach, Diagnostic"
W504XXD,"Bypass Left Axillary Vein to Upper Vein with Autologous Arterial Tissue, Open Approach"
S82263E,"Revision of Synthetic Substitute in Right Tibia, Percutaneous Endoscopic Approach"
J3089,"Release Soft Palate, Open Approach"
S65299A,"Fusion of 2 to 7 Thoracic Vertebral Joints, Posterior Approach, Posterior Column, Open Approach"
T592X4,"Revision of Other Device in Respiratory Tract, Percutaneous Endoscopic Approach"
M4609,"Alteration of Upper Back with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S61324A,"Drainage of Pharynx, Percutaneous Approach"
H3011,"Fusion of Right Sacroiliac Joint, Percutaneous Approach"
T478X2S,Fluoroscopy of Left External Carotid Artery using Other Contrast
P288,"Revision of Radioactive Element in Pelvic Cavity, Percutaneous Approach"
T2116XA,"Division of Right Knee Bursa and Ligament, Open Approach"
S53126S,"Restriction of Right Greater Saphenous Vein, Percutaneous Approach"
S31132A,"Fragmentation in Bilateral Fallopian Tubes, Via Natural or Artificial Opening"
Y37050,"Change Drainage Device in Thymus, External Approach"
S52132F,"Transfer Left Upper Leg Muscle with Skin, Open Approach"
T82520D,"Drainage of Right Common Iliac Vein with Drainage Device, Open Approach"
S42454A,"Beam Radiation of Trachea using Heavy Particles (Protons,Ions)"
S32051G,"Drainage of Greater Omentum with Drainage Device, Percutaneous Endoscopic Approach"
S61225S,"Revision of Infusion Device in Right Carpal Joint, External Approach"
E103491,"Insertion of Limb Lengthening External Fixation Device into Left Upper Femur, Percutaneous Endoscopic Approach"
G403,"Measurement of Venous Flow, Peripheral, Percutaneous Approach"
T84019A,"Bypass Peritoneal Cavity to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
T496X1A,Contact Radiation of Eye
M9966,Plain Radiography of Unilateral Abdominal/Retroperitoneal Lymphatics using High Osmolar Contrast
Q782,"Dilation of Middle Esophagus, Via Natural or Artificial Opening Endoscopic"
T39011,"Division of Right Abdomen Bursa and Ligament, Percutaneous Approach"
S82445H,"Supplement Left Thyroid Artery with Nonautologous Tissue Substitute, Percutaneous Approach"
M89272,"Restriction of Left Upper Extremity Lymphatic with Intraluminal Device, Open Approach"
T7803,"Excision of Cervical Spinal Cord, Percutaneous Approach"
D823,"Supplement Right Metatarsal with Nonautologous Tissue Substitute, Open Approach"
M080,"Insertion of Infusion Device into Right Metacarpocarpal Joint, Percutaneous Approach"
M93211,Low Dose Rate (LDR) Brachytherapy of Pleura using Other Isotope
Z383,"Removal of Other Device from Pelvic Cavity, Open Approach"
T7631XS,"Extirpation of Matter from Right External Ear, Percutaneous Endoscopic Approach"
T2571,Computerized Tomography (CT Scan) of Bilateral Tracheobronchial Trees
T84490S,"Tendons, Release"
T24612A,"Occlusion of Right Radial Artery with Extraluminal Device, Open Approach"
M66172,Beam Radiation of Chest using Electrons
N5314,"Fragmentation in Bilateral Fallopian Tubes, External Approach"
S12591,"Transfer Abdomen Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
H53021,"Repair Optic Nerve, Percutaneous Approach"
D73,"Transfusion of Nonautologous 4-Factor Prothrombin Complex Concentrate into Vein, Open Approach"
S52263S,High Dose Rate (HDR) Brachytherapy of Oropharynx using Iridium 192 (Ir-192)
O9A312,"Replacement of Thoracic Vertebral Disc with Autologous Tissue Substitute, Open Approach"
M84469S,"Destruction of Right Ulna, Percutaneous Endoscopic Approach"
A5432,"Bypass Right Brachial Artery to Right Lower Arm Artery, Open Approach"
S52334,"Supplement Right Axilla with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S0431,"Drainage of Minor Salivary Gland, Percutaneous Approach"
T423X3D,"Insertion of Infusion Device into Left Lobe Liver, Percutaneous Endoscopic Approach"
S86029S,"Removal of Spacer from Right Metacarpocarpal Joint, Percutaneous Approach"
Z1639,"Release Right Innominate Vein, Open Approach"
T71192D,"Release Finger Nail, External Approach"
S09302S,"Bypass Right Internal Iliac Artery to Left External Iliac Artery, Open Approach"
T2210XS,"Excision of Right Kidney, Percutaneous Approach"
T85528A,"Supplement Left External Ear with Autologous Tissue Substitute, Open Approach"
S52511S,"Repair Right Ureter, Via Natural or Artificial Opening Endoscopic"
S42363D,"Drainage of Right Trunk Tendon, Open Approach, Diagnostic"
E84,"Removal of Nonautologous Tissue Substitute from Lumbar Vertebral Disc, Percutaneous Endoscopic Approach"
S42493,"Revision of Artificial Sphincter in Bladder, Percutaneous Approach"
V249XXS,"Insertion of Internal Fixation Device into Occipital-cervical Joint, Percutaneous Endoscopic Approach"
C8124,"Central Nervous System, Inspection"
S63438A,"Destruction of Right Subclavian Artery, Percutaneous Approach"
Q388,"Repair Prepuce, External Approach"
H6692,"Excision of Left Upper Arm Tendon, Percutaneous Approach, Diagnostic"
M12179,"Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Open Approach"
V672XXS,"Removal of Infusion Device from Tracheobronchial Tree, External Approach"
V0592XA,"Extirpation of Matter from Left Extraocular Muscle, External Approach"
S79019K,"Excision of Right Buttock, Percutaneous Approach, Diagnostic"
W219XXA,"Bypass Duodenum to Jejunum with Synthetic Substitute, Open Approach"
S92215B,"Drainage of Jejunum, Open Approach, Diagnostic"
I249,"Drainage of Right Femoral Region, Percutaneous Approach"
S8253XN,"Replacement of Left Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
S56902,"Revision of External Fixation Device in Right Ulna, Percutaneous Endoscopic Approach"
S00542D,"Repair Right Neck Muscle, Open Approach"
V532XXA,"Extirpation of Matter from Right Metacarpophalangeal Joint, Percutaneous Approach"
W2111XA,"Destruction of Left Submaxillary Gland, Open Approach"
Z93,"Replacement of Left Mandible with Nonautologous Tissue Substitute, Percutaneous Approach"
M84622P,Low Dose Rate (LDR) Brachytherapy of Duodenum using Iridium 192 (Ir-192)
V331XXD,"Bypass Abdominal Aorta to Mesenteric Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S34131S,"Drainage of Left Foot, Percutaneous Endoscopic Approach"
S37029S,"Excision of Left Foot Muscle, Open Approach"
T2503,"Dilation of Right Renal Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S30202D,"Excision of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach"
N997,"Division of Left Palatine Bone, Percutaneous Approach"
S89002A,"Revision of Nonautologous Tissue Substitute in Cervical Vertebral Joint, External Approach"
S93114S,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Open Approach"
T1742,"Reposition Abducens Nerve, Percutaneous Approach"
W278XXD,"Dilation of Left Internal Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach"
S82113F,"Bypass Right External Iliac Vein to Lower Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
S92156A,"Division of Lumbar Nerve, Percutaneous Endoscopic Approach"
S06324A,"Extirpation of Matter from Stomach, Pylorus, Percutaneous Endoscopic Approach"
C8267,"Beam Radiation of Hemibody using Heavy Particles (Protons,Ions)"
S31825,"Division of Left Sphenoid Bone, Percutaneous Endoscopic Approach"
H05241,"Drainage of Right Tympanic Membrane, Via Natural or Artificial Opening, Diagnostic"
R62,"Drainage of Left Carotid Body, Percutaneous Approach, Diagnostic"
S92133B,"Removal of Autologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Open Approach"
S42212,"Excision of Right Upper Arm, Percutaneous Approach, Diagnostic"
S99222K,"Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
T2172XA,"Extirpation of Matter from Left Knee Bursa and Ligament, Open Approach"
E1141,"Replacement of Larynx with Autologous Tissue Substitute, Open Approach"
S82016S,"Occlusion of Trachea, Via Natural or Artificial Opening"
V834,Fluoroscopy of Gallbladder using Low Osmolar Contrast
B080,"Insertion of External Fixation Device into Left Metacarpal, Percutaneous Approach"
S99009B,"Repair Right Renal Artery, Percutaneous Approach"
S62602K,"Removal of Other Device from Face, Percutaneous Approach"
S82856R,"Occlusion of Left Peroneal Artery, Percutaneous Approach"
S748X9A,"Reposition Right Lower Femur with External Fixation Device, Open Approach"
M89122,Contact Radiation of Stomach
S064X9D,"Excision of Right Tarsal, Open Approach"
S660,"Supplement Right Hepatic Duct with Nonautologous Tissue Substitute, Open Approach"
S86809A,"Excision of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach"
H6549,"Reposition Left Metacarpophalangeal Joint with Internal Fixation Device, External Approach"
O640XX2,"Insertion of Tissue Expander into Left Lower Arm Subcutaneous Tissue and Fascia, Open Approach"
O365121,"Removal of Drainage Device from Bladder, Open Approach"
S0211EB,"Supplement Left Radial Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S82846A,"Insertion of Other Device into Right Upper Arm, Percutaneous Approach"
Z9629,"Fusion of 2 or more Lumbar Vertebral Joints, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach"
M93821,"Bypass Left Popliteal Artery to Popliteal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S83209S,"Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
S82855E,"Destruction of Left Shoulder Joint, Percutaneous Endoscopic Approach"
N6481,Computerized Tomography (CT Scan) of Bilateral Vertebral Arteries using Other Contrast
T2367,"Bypass Abdominal Aorta to Right External Iliac Artery, Open Approach"
S72434C,"Bypass Lower Esophagus to Duodenum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
W64XXXS,"Excision of Left Foot Subcutaneous Tissue and Fascia, Open Approach, Diagnostic"
M9721XA,"Release Thoracic Nerve, Percutaneous Endoscopic Approach"
C7970,"Dilation of Right Common Carotid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
S9702,"Repair Skin in Products of Conception, Open Approach"
S92199K,"Drainage of Right Vertebral Vein, Percutaneous Approach, Diagnostic"
M24132,"Repair Left Abdomen Muscle, Percutaneous Endoscopic Approach"
S0010,"Drainage of Transverse Colon, Via Natural or Artificial Opening, Diagnostic"
M1610,Plain Radiography of Right Vertebral Artery using High Osmolar Contrast
V9529XA,"Removal of Autologous Tissue Substitute from Nasal Bone, Percutaneous Approach"
Q321,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
Y37491D,"Extirpation of Matter from Left Posterior Tibial Artery, Bifurcation, Open Approach"
J9503,"Bypass Inferior Vena Cava to Lower Vein with Autologous Venous Tissue, Open Approach"
S52131P,"Fluoroscopy of Thoracic Aorta using Low Osmolar Contrast, Laser Intraoperative"
V9512,"Repair Right Ventricle, Percutaneous Endoscopic Approach"
S42311P,"Inspection of Mediastinum, Open Approach"
S92421G,"Excision of Face Subcutaneous Tissue and Fascia, Percutaneous Approach"
S72456H,"Supplement Right Trunk Muscle with Nonautologous Tissue Substitute, Open Approach"
S82025R,"Revision of Infusion Device in Left Toe Phalangeal Joint, Percutaneous Approach"
S7223XA,Compression of Neck using Intermittent Pressure Device
T582X1D,Change Splint on Right Upper Arm
S53431D,"Supplement of Left Foot Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach"
A1783,"Resection of Left Zygomatic Bone, Open Approach"
T507,"Supplement Duodenum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
S82014P,"Drainage of Thoracic Vertebra, Percutaneous Approach"
S7224XG,"Revision of Nonautologous Tissue Substitute in Left Ear, External Approach"
S72411K,"Destruction of Left Neck Muscle, Percutaneous Approach"
T7509XA,"Replacement of Left Posterior Tibial Artery with Nonautologous Tissue Substitute, Open Approach"
T24312A,"Occlusion of Left Common Iliac Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
E1163,"Insertion of Bone Conduction Hearing Device into Left Inner Ear, Open Approach"
S60468S,"Repair Urethra, External Approach"
S72064M,"Introduction of Analgesics, Hypnotics, Sedatives into Nose, External Approach"
S52121R,"Bypass Ileum to Anus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
A96,"Drainage of Right Radius, Percutaneous Approach"
B768,"Excision of Left Common Iliac Vein, Open Approach, Diagnostic"
Y37251,Motor Function Treatment of Integumentary System - Lower Back / Lower Extremity
C8477,"Extirpation of Matter from Right Knee Bursa and Ligament, Open Approach"
S66196S,"Removal of Autologous Tissue Substitute from Right Wrist Joint, Percutaneous Endoscopic Approach"
Z6820,"Monitoring of Cardiac Rhythm, External Approach"
S92491G,"Replacement of Left Ulnar Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S31133D,"Supplement Left Atrium with Nonautologous Tissue Substitute, Open Approach"
S32452,"Bypass Superior Vena Cava to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
W16722S,"Ultrasonography of Abdominal Aorta, Intravascular"
S12001,"Repair Left Lobe Liver, Percutaneous Approach"
S82872E,"Revision of Infusion Device in Ovary, External Approach"
M4818,"Replacement of Left Finger Phalangeal Joint with Autologous Tissue Substitute, Open Approach"
M0564,"Removal of Internal Fixation Device from Left Metatarsal, Open Approach"
S59021A,"Bypass Right Subclavian Artery to Left Lower Arm Artery with Synthetic Substitute, Open Approach"
S9093,"Dilation of Small Intestine with Intraluminal Device, Via Natural or Artificial Opening"
M6130,"Destruction of Perineum Bursa and Ligament, Open Approach"
S72102N,Immobilization of Right Lower Extremity using Other Device
O360911,"Extirpation of Matter from Left Large Intestine, Via Natural or Artificial Opening"
M8534,"Dilation of Superior Mesenteric Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
M672,"Extirpation of Matter from Right Carpal, Open Approach"
S43205S,"Removal of Synthetic Substitute from Cervicothoracic Vertebral Joint, Open Approach"
E784,"Removal of Drainage Device from Upper Muscle, External Approach"
M6634,"Drainage of Right Upper Arm with Drainage Device, Percutaneous Endoscopic Approach"
M65251,"Replacement of Left Vocal Cord with Autologous Tissue Substitute, Open Approach"
S72001C,"Drainage of Left Lung, Percutaneous Approach, Diagnostic"
T17918A,"Drainage of Left Femoral Region with Drainage Device, Open Approach"
S52251M,"Release Left Scapula, Percutaneous Endoscopic Approach"
S92526D,"Drainage of Right Ureter, Percutaneous Approach, Diagnostic"
S6010XA,"Revision of Drainage Device in Lower Extremity Subcutaneous Tissue and Fascia, Percutaneous Approach"
H5988,"Replacement of Uvula with Autologous Tissue Substitute, Open Approach"
V656XXS,"Bypass Right Kidney Pelvis to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S31153,"Revision of Drainage Device in Lower Jaw, External Approach"
S61401D,Plain Radiography of Left Hand/Finger Joint
S42447K,"Excision of Left Ankle Bursa and Ligament, Open Approach, Diagnostic"
